scoring,season,team,strategy,objective,picks,status,remaining_slots,ocg_team,draft_status,runtime_seconds
2026_yahoo,2026,1,OCG,15147.9,16,COMPLETE,,1,COMPLETE,5.786803000009968
2026_yahoo,2026,2,DG,15013.6,16,COMPLETE,,1,COMPLETE,5.786803000009968
2026_yahoo,2026,3,DG,14682.699999999999,16,COMPLETE,,1,COMPLETE,5.786803000009968
2026_yahoo,2026,4,DG,14338.900000000001,16,COMPLETE,,1,COMPLETE,5.786803000009968
2026_yahoo,2026,8,DG,14243.1,16,COMPLETE,,1,COMPLETE,5.786803000009968
2026_yahoo,2026,7,DG,14223.599999999999,16,COMPLETE,,1,COMPLETE,5.786803000009968
2026_yahoo,2026,11,DG,14196.8,16,COMPLETE,,1,COMPLETE,5.786803000009968
2026_yahoo,2026,12,DG,14178.900000000001,16,COMPLETE,,1,COMPLETE,5.786803000009968
2026_yahoo,2026,10,DG,14174.900000000001,16,COMPLETE,,1,COMPLETE,5.786803000009968
2026_yahoo,2026,9,DG,14173.400000000001,16,COMPLETE,,1,COMPLETE,5.786803000009968
2026_yahoo,2026,5,DG,14166.9,16,COMPLETE,,1,COMPLETE,5.786803000009968
2026_yahoo,2026,6,DG,14131.6,16,COMPLETE,,1,COMPLETE,5.786803000009968
2026_yahoo,2026,2,OCG,15184.599999999999,16,COMPLETE,,2,COMPLETE,5.525769333995413
2026_yahoo,2026,1,DG,15009.3,16,COMPLETE,,2,COMPLETE,5.525769333995413
2026_yahoo,2026,3,DG,14680.7,16,COMPLETE,,2,COMPLETE,5.525769333995413
2026_yahoo,2026,4,DG,14326.1,16,COMPLETE,,2,COMPLETE,5.525769333995413
2026_yahoo,2026,8,DG,14246.1,16,COMPLETE,,2,COMPLETE,5.525769333995413
2026_yahoo,2026,7,DG,14224.3,16,COMPLETE,,2,COMPLETE,5.525769333995413
2026_yahoo,2026,11,DG,14186.1,16,COMPLETE,,2,COMPLETE,5.525769333995413
2026_yahoo,2026,9,DG,14175.6,16,COMPLETE,,2,COMPLETE,5.525769333995413
2026_yahoo,2026,12,DG,14174.800000000001,16,COMPLETE,,2,COMPLETE,5.525769333995413
2026_yahoo,2026,10,DG,14169.1,16,COMPLETE,,2,COMPLETE,5.525769333995413
2026_yahoo,2026,5,DG,14164.599999999999,16,COMPLETE,,2,COMPLETE,5.525769333995413
2026_yahoo,2026,6,DG,14131.0,16,COMPLETE,,2,COMPLETE,5.525769333995413
2026_yahoo,2026,3,OCG,15194.5,16,COMPLETE,,3,COMPLETE,5.6222372080083005
2026_yahoo,2026,1,DG,15009.3,16,COMPLETE,,3,COMPLETE,5.6222372080083005
2026_yahoo,2026,2,DG,14670.8,16,COMPLETE,,3,COMPLETE,5.6222372080083005
2026_yahoo,2026,4,DG,14326.1,16,COMPLETE,,3,COMPLETE,5.6222372080083005
2026_yahoo,2026,8,DG,14246.1,16,COMPLETE,,3,COMPLETE,5.6222372080083005
2026_yahoo,2026,7,DG,14224.3,16,COMPLETE,,3,COMPLETE,5.6222372080083005
2026_yahoo,2026,11,DG,14186.1,16,COMPLETE,,3,COMPLETE,5.6222372080083005
2026_yahoo,2026,9,DG,14175.6,16,COMPLETE,,3,COMPLETE,5.6222372080083005
2026_yahoo,2026,12,DG,14174.800000000001,16,COMPLETE,,3,COMPLETE,5.6222372080083005
2026_yahoo,2026,10,DG,14169.1,16,COMPLETE,,3,COMPLETE,5.6222372080083005
2026_yahoo,2026,5,DG,14164.599999999999,16,COMPLETE,,3,COMPLETE,5.6222372080083005
2026_yahoo,2026,6,DG,14131.0,16,COMPLETE,,3,COMPLETE,5.6222372080083005
2026_yahoo,2026,4,OCG,15193.8,16,COMPLETE,,4,COMPLETE,6.138466834003339
2026_yahoo,2026,1,DG,15009.3,16,COMPLETE,,4,COMPLETE,6.138466834003339
2026_yahoo,2026,2,DG,14670.8,16,COMPLETE,,4,COMPLETE,6.138466834003339
2026_yahoo,2026,3,DG,14326.8,16,COMPLETE,,4,COMPLETE,6.138466834003339
2026_yahoo,2026,8,DG,14246.1,16,COMPLETE,,4,COMPLETE,6.138466834003339
2026_yahoo,2026,7,DG,14224.3,16,COMPLETE,,4,COMPLETE,6.138466834003339
2026_yahoo,2026,11,DG,14186.1,16,COMPLETE,,4,COMPLETE,6.138466834003339
2026_yahoo,2026,9,DG,14175.6,16,COMPLETE,,4,COMPLETE,6.138466834003339
2026_yahoo,2026,12,DG,14174.800000000001,16,COMPLETE,,4,COMPLETE,6.138466834003339
2026_yahoo,2026,10,DG,14169.1,16,COMPLETE,,4,COMPLETE,6.138466834003339
2026_yahoo,2026,5,DG,14164.599999999999,16,COMPLETE,,4,COMPLETE,6.138466834003339
2026_yahoo,2026,6,DG,14131.0,16,COMPLETE,,4,COMPLETE,6.138466834003339
2026_yahoo,2026,5,OCG,15195.7,16,COMPLETE,,5,COMPLETE,5.501836707990151
2026_yahoo,2026,1,DG,15009.3,16,COMPLETE,,5,COMPLETE,5.501836707990151
2026_yahoo,2026,2,DG,14670.8,16,COMPLETE,,5,COMPLETE,5.501836707990151
2026_yahoo,2026,3,DG,14326.8,16,COMPLETE,,5,COMPLETE,5.501836707990151
2026_yahoo,2026,8,DG,14246.1,16,COMPLETE,,5,COMPLETE,5.501836707990151
2026_yahoo,2026,7,DG,14224.3,16,COMPLETE,,5,COMPLETE,5.501836707990151
2026_yahoo,2026,11,DG,14186.1,16,COMPLETE,,5,COMPLETE,5.501836707990151
2026_yahoo,2026,9,DG,14175.6,16,COMPLETE,,5,COMPLETE,5.501836707990151
2026_yahoo,2026,12,DG,14174.800000000001,16,COMPLETE,,5,COMPLETE,5.501836707990151
2026_yahoo,2026,10,DG,14169.1,16,COMPLETE,,5,COMPLETE,5.501836707990151
2026_yahoo,2026,4,DG,14162.7,16,COMPLETE,,5,COMPLETE,5.501836707990151
2026_yahoo,2026,6,DG,14131.0,16,COMPLETE,,5,COMPLETE,5.501836707990151
2026_yahoo,2026,6,OCG,15198.5,16,COMPLETE,,6,COMPLETE,5.33987595900544
2026_yahoo,2026,1,DG,15009.3,16,COMPLETE,,6,COMPLETE,5.33987595900544
2026_yahoo,2026,2,DG,14670.8,16,COMPLETE,,6,COMPLETE,5.33987595900544
2026_yahoo,2026,3,DG,14326.8,16,COMPLETE,,6,COMPLETE,5.33987595900544
2026_yahoo,2026,8,DG,14246.1,16,COMPLETE,,6,COMPLETE,5.33987595900544
2026_yahoo,2026,7,DG,14224.3,16,COMPLETE,,6,COMPLETE,5.33987595900544
2026_yahoo,2026,11,DG,14186.1,16,COMPLETE,,6,COMPLETE,5.33987595900544
2026_yahoo,2026,9,DG,14175.6,16,COMPLETE,,6,COMPLETE,5.33987595900544
2026_yahoo,2026,12,DG,14174.800000000001,16,COMPLETE,,6,COMPLETE,5.33987595900544
