scoring,season,team,strategy,objective,picks,status,remaining_slots,mode,ocg_team,dg_team,draft_status,runtime_seconds
2026_yahoo,2026,2,OCG,14734.5,16,COMPLETE,,single_dg,,1,COMPLETE,26.03807316700113
2026_yahoo,2026,3,OCG,14543.0,16,COMPLETE,,single_dg,,1,COMPLETE,26.03807316700113
2026_yahoo,2026,8,OCG,14385.399999999998,16,COMPLETE,,single_dg,,1,COMPLETE,26.03807316700113
2026_yahoo,2026,5,OCG,14370.5,16,COMPLETE,,single_dg,,1,COMPLETE,26.03807316700113
2026_yahoo,2026,4,OCG,14369.7,16,COMPLETE,,single_dg,,1,COMPLETE,26.03807316700113
2026_yahoo,2026,1,DG,14348.5,16,COMPLETE,,single_dg,,1,COMPLETE,26.03807316700113
2026_yahoo,2026,10,OCG,14337.600000000002,16,COMPLETE,,single_dg,,1,COMPLETE,26.03807316700113
2026_yahoo,2026,9,OCG,14306.099999999999,16,COMPLETE,,single_dg,,1,COMPLETE,26.03807316700113
2026_yahoo,2026,11,OCG,14300.800000000001,16,COMPLETE,,single_dg,,1,COMPLETE,26.03807316700113
2026_yahoo,2026,7,OCG,14282.5,16,COMPLETE,,single_dg,,1,COMPLETE,26.03807316700113
2026_yahoo,2026,12,OCG,14232.099999999999,16,COMPLETE,,single_dg,,1,COMPLETE,26.03807316700113
2026_yahoo,2026,6,OCG,14202.0,16,COMPLETE,,single_dg,,1,COMPLETE,26.03807316700113
2026_yahoo,2026,1,OCG,14735.1,16,COMPLETE,,single_dg,,2,COMPLETE,26.12855733401375
2026_yahoo,2026,3,OCG,14543.0,16,COMPLETE,,single_dg,,2,COMPLETE,26.12855733401375
2026_yahoo,2026,8,OCG,14385.399999999998,16,COMPLETE,,single_dg,,2,COMPLETE,26.12855733401375
2026_yahoo,2026,5,OCG,14370.5,16,COMPLETE,,single_dg,,2,COMPLETE,26.12855733401375
2026_yahoo,2026,4,OCG,14369.7,16,COMPLETE,,single_dg,,2,COMPLETE,26.12855733401375
2026_yahoo,2026,2,DG,14347.9,16,COMPLETE,,single_dg,,2,COMPLETE,26.12855733401375
