scoring,season,team,strategy,objective,picks,status,remaining_slots,mode,ocg_team,rank,draft_status,runtime_seconds
2026_yahoo,2026,1,OCG,14722.900000000001,16,COMPLETE,,all_ocg,,1,COMPLETE,27.8616986249981
2026_yahoo,2026,2,OCG,14708.9,16,COMPLETE,,all_ocg,,2,COMPLETE,27.8616986249981
2026_yahoo,2026,3,OCG,14534.2,16,COMPLETE,,all_ocg,,3,COMPLETE,27.8616986249981
2026_yahoo,2026,4,OCG,14424.599999999999,16,COMPLETE,,all_ocg,,4,COMPLETE,27.8616986249981
2026_yahoo,2026,12,OCG,14356.0,16,COMPLETE,,all_ocg,,5,COMPLETE,27.8616986249981
2026_yahoo,2026,11,OCG,14300.599999999999,16,COMPLETE,,all_ocg,,6,COMPLETE,27.8616986249981
2026_yahoo,2026,5,OCG,14292.8,16,COMPLETE,,all_ocg,,7,COMPLETE,27.8616986249981
2026_yahoo,2026,10,OCG,14289.2,16,COMPLETE,,all_ocg,,8,COMPLETE,27.8616986249981
2026_yahoo,2026,6,OCG,14242.3,16,COMPLETE,,all_ocg,,9,COMPLETE,27.8616986249981
2026_yahoo,2026,7,OCG,14201.3,16,COMPLETE,,all_ocg,,10,COMPLETE,27.8616986249981
2026_yahoo,2026,9,OCG,14157.699999999999,16,COMPLETE,,all_ocg,,11,COMPLETE,27.8616986249981
2026_yahoo,2026,8,OCG,14079.3,16,COMPLETE,,all_ocg,,12,COMPLETE,27.8616986249981
2026_yahoo,2026,1,DG,15185.399999999998,16,COMPLETE,,all_dg,,1,COMPLETE,1.688161083002342
2026_yahoo,2026,12,DG,14787.5,16,COMPLETE,,all_dg,,2,COMPLETE,1.688161083002342
2026_yahoo,2026,2,DG,14753.0,16,COMPLETE,,all_dg,,3,COMPLETE,1.688161083002342
2026_yahoo,2026,3,DG,14424.400000000001,16,COMPLETE,,all_dg,,4,COMPLETE,1.688161083002342
2026_yahoo,2026,7,DG,14233.5,16,COMPLETE,,all_dg,,5,COMPLETE,1.688161083002342
2026_yahoo,2026,8,DG,14228.4,16,COMPLETE,,all_dg,,6,COMPLETE,1.688161083002342
2026_yahoo,2026,6,DG,14208.900000000001,16,COMPLETE,,all_dg,,7,COMPLETE,1.688161083002342
2026_yahoo,2026,4,DG,14181.6,16,COMPLETE,,all_dg,,8,COMPLETE,1.688161083002342
2026_yahoo,2026,9,DG,14179.099999999999,16,COMPLETE,,all_dg,,9,COMPLETE,1.688161083002342
2026_yahoo,2026,10,DG,14161.8,16,COMPLETE,,all_dg,,10,COMPLETE,1.688161083002342
2026_yahoo,2026,5,DG,14153.400000000001,16,COMPLETE,,all_dg,,11,COMPLETE,1.688161083002342
2026_yahoo,2026,11,DG,14148.9,16,COMPLETE,,all_dg,,12,COMPLETE,1.688161083002342
2026_fangraph,2026,1,OCG,12364.92,16,COMPLETE,,all_ocg,,1,COMPLETE,26.577609542000573
2026_fangraph,2026,2,OCG,12100.26,16,COMPLETE,,all_ocg,,2,COMPLETE,26.577609542000573
2026_fangraph,2026,3,OCG,12009.82,16,COMPLETE,,all_ocg,,3,COMPLETE,26.577609542000573
2026_fangraph,2026,4,OCG,11864.300000000001,16,COMPLETE,,all_ocg,,4,COMPLETE,26.577609542000573
2026_fangraph,2026,11,OCG,11796.8,16,COMPLETE,,all_ocg,,5,COMPLETE,26.577609542000573
2026_fangraph,2026,5,OCG,11763.66,16,COMPLETE,,all_ocg,,6,COMPLETE,26.577609542000573
2026_fangraph,2026,6,OCG,11698.96,16,COMPLETE,,all_ocg,,7,COMPLETE,26.577609542000573
2026_fangraph,2026,7,OCG,11682.1,16,COMPLETE,,all_ocg,,8,COMPLETE,26.577609542000573
2026_fangraph,2026,8,OCG,11630.28,16,COMPLETE,,all_ocg,,9,COMPLETE,26.577609542000573
2026_fangraph,2026,9,OCG,11625.0,16,COMPLETE,,all_ocg,,10,COMPLETE,26.577609542000573
2026_fangraph,2026,10,OCG,11587.52,16,COMPLETE,,all_ocg,,11,COMPLETE,26.577609542000573
2026_fangraph,2026,12,OCG,11511.84,16,COMPLETE,,all_ocg,,12,COMPLETE,26.577609542000573
2026_fangraph,2026,1,DG,12533.279999999999,16,COMPLETE,,all_dg,,1,COMPLETE,1.6482873329950962
2026_fangraph,2026,12,DG,12294.58,16,COMPLETE,,all_dg,,2,COMPLETE,1.6482873329950962
2026_fangraph,2026,2,DG,12187.3,16,COMPLETE,,all_dg,,3,COMPLETE,1.6482873329950962
2026_fangraph,2026,3,DG,11853.220000000001,16,COMPLETE,,all_dg,,4,COMPLETE,1.6482873329950962
2026_fangraph,2026,5,DG,11714.96,16,COMPLETE,,all_dg,,5,COMPLETE,1.6482873329950962
2026_fangraph,2026,4,DG,11712.12,16,COMPLETE,,all_dg,,6,COMPLETE,1.6482873329950962
2026_fangraph,2026,6,DG,11697.42,16,COMPLETE,,all_dg,,7,COMPLETE,1.6482873329950962
2026_fangraph,2026,9,DG,11603.52,16,COMPLETE,,all_dg,,8,COMPLETE,1.6482873329950962
2026_fangraph,2026,7,DG,11603.119999999999,16,COMPLETE,,all_dg,,9,COMPLETE,1.6482873329950962
2026_fangraph,2026,10,DG,11600.800000000001,16,COMPLETE,,all_dg,,10,COMPLETE,1.6482873329950962
2026_fangraph,2026,8,DG,11572.98,16,COMPLETE,,all_dg,,11,COMPLETE,1.6482873329950962
2026_fangraph,2026,11,DG,11565.66,16,COMPLETE,,all_dg,,12,COMPLETE,1.6482873329950962
