season,scoring,draft_position,delta,method,objective,adp_aware_objective,optimal_gap,optimal_gap_pct,adp_cost,status,adp_aware_status
2026,fangraph,1,-10.0,ADP-aware ILP,14373.800000000001,14373.800000000001,0.0,0.0,,OPTIMAL,OPTIMAL
2026,fangraph,1,-9.0,ADP-aware ILP,14373.800000000001,14373.800000000001,0.0,0.0,,OPTIMAL,OPTIMAL
2026,fangraph,1,-8.0,ADP-aware ILP,14397.300000000001,14397.300000000001,0.0,0.0,,OPTIMAL,OPTIMAL
2026,fangraph,1,-7.0,ADP-aware ILP,14397.300000000001,14397.300000000001,0.0,0.0,,OPTIMAL,OPTIMAL
2026,fangraph,1,-6.0,ADP-aware ILP,14397.300000000001,14397.300000000001,0.0,0.0,,OPTIMAL,OPTIMAL
2026,fangraph,1,-5.0,ADP-aware ILP,14464.300000000003,14464.300000000003,0.0,0.0,,OPTIMAL,OPTIMAL
2026,fangraph,1,-4.0,ADP-aware ILP,14464.300000000003,14464.300000000003,0.0,0.0,,OPTIMAL,OPTIMAL
2026,fangraph,1,-3.0,ADP-aware ILP,14464.300000000003,14464.300000000003,0.0,0.0,,OPTIMAL,OPTIMAL
2026,fangraph,1,-2.0,ADP-aware ILP,14609.400000000001,14609.400000000001,0.0,0.0,,OPTIMAL,OPTIMAL
2026,fangraph,1,-1.0,ADP-aware ILP,14661.500000000002,14661.500000000002,0.0,0.0,,OPTIMAL,OPTIMAL
2026,fangraph,1,0.0,ADP-aware ILP,14684.500000000004,14684.500000000004,0.0,0.0,,OPTIMAL,OPTIMAL
2026,fangraph,1,1.0,ADP-aware ILP,14684.500000000004,14684.500000000004,0.0,0.0,,OPTIMAL,OPTIMAL
2026,fangraph,1,2.0,ADP-aware ILP,14704.800000000003,14704.800000000003,0.0,0.0,,OPTIMAL,OPTIMAL
2026,fangraph,1,3.0,ADP-aware ILP,14704.800000000003,14704.800000000003,0.0,0.0,,OPTIMAL,OPTIMAL
2026,fangraph,1,4.0,ADP-aware ILP,14704.800000000003,14704.800000000003,0.0,0.0,,OPTIMAL,OPTIMAL
2026,fangraph,1,5.0,ADP-aware ILP,14704.800000000003,14704.800000000003,0.0,0.0,,OPTIMAL,OPTIMAL
2026,fangraph,1,6.0,ADP-aware ILP,14825.400000000001,14825.400000000001,0.0,0.0,,OPTIMAL,OPTIMAL
2026,fangraph,1,7.0,ADP-aware ILP,14825.400000000001,14825.400000000001,0.0,0.0,,OPTIMAL,OPTIMAL
2026,fangraph,1,8.0,ADP-aware ILP,14890.100000000002,14890.100000000002,0.0,0.0,,OPTIMAL,OPTIMAL
2026,fangraph,1,9.0,ADP-aware ILP,14890.100000000002,14890.100000000002,0.0,0.0,,OPTIMAL,OPTIMAL
2026,fangraph,1,10.0,ADP-aware ILP,14890.100000000002,14890.100000000002,0.0,0.0,,OPTIMAL,OPTIMAL
2026,fangraph,2,-10.0,ADP-aware ILP,14373.800000000001,14373.800000000001,0.0,0.0,,OPTIMAL,OPTIMAL
2026,fangraph,2,-9.0,ADP-aware ILP,14373.800000000001,14373.800000000001,0.0,0.0,,OPTIMAL,OPTIMAL
