season,scoring,draft_position,delta,method,objective,adp_aware_objective,optimal_gap,optimal_gap_pct,adp_cost,status,adp_aware_status
2026,fangraph,1,-10.0,Direct Greedy,13993.8,14373.800000000001,380.0000000000018,0.02643698952260375,,OPTIMAL,OPTIMAL
2026,fangraph,1,-9.0,Direct Greedy,13993.8,14373.800000000001,380.0000000000018,0.02643698952260375,,OPTIMAL,OPTIMAL
2026,fangraph,1,-8.0,Direct Greedy,13993.8,14397.300000000001,403.5000000000018,0.028026088224875623,,OPTIMAL,OPTIMAL
2026,fangraph,1,-7.0,Direct Greedy,13993.8,14397.300000000001,403.5000000000018,0.028026088224875623,,OPTIMAL,OPTIMAL
2026,fangraph,1,-6.0,Direct Greedy,13993.8,14397.300000000001,403.5000000000018,0.028026088224875623,,OPTIMAL,OPTIMAL
2026,fangraph,1,-5.0,Direct Greedy,13993.8,14464.300000000003,470.50000000000364,0.032528362934950435,,OPTIMAL,OPTIMAL
2026,fangraph,1,-4.0,Direct Greedy,13993.8,14464.300000000003,470.50000000000364,0.032528362934950435,,OPTIMAL,OPTIMAL
2026,fangraph,1,-3.0,Direct Greedy,13993.8,14464.300000000003,470.50000000000364,0.032528362934950435,,OPTIMAL,OPTIMAL
2026,fangraph,1,-2.0,Direct Greedy,14042.9,14609.400000000001,566.5000000000018,0.038776404232891276,,OPTIMAL,OPTIMAL
2026,fangraph,1,-1.0,Direct Greedy,14042.9,14661.500000000002,618.6000000000022,0.04219213586604386,,OPTIMAL,OPTIMAL
2026,fangraph,1,0.0,Direct Greedy,14082.9,14684.500000000004,601.600000000004,0.04096836800708256,,OPTIMAL,OPTIMAL
2026,fangraph,1,1.0,Direct Greedy,14082.9,14684.500000000004,601.600000000004,0.04096836800708256,,OPTIMAL,OPTIMAL
2026,fangraph,1,2.0,Direct Greedy,14082.9,14704.800000000003,621.9000000000033,0.042292312714215984,,OPTIMAL,OPTIMAL
2026,fangraph,1,3.0,Direct Greedy,14082.9,14704.800000000003,621.9000000000033,0.042292312714215984,,OPTIMAL,OPTIMAL
2026,fangraph,1,4.0,Direct Greedy,14082.9,14704.800000000003,621.9000000000033,0.042292312714215984,,OPTIMAL,OPTIMAL
2026,fangraph,1,5.0,Direct Greedy,14082.9,14704.800000000003,621.9000000000033,0.042292312714215984,,OPTIMAL,OPTIMAL
2026,fangraph,1,6.0,Direct Greedy,14302.4,14825.400000000001,523.0000000000018,0.03527729437317049,,OPTIMAL,OPTIMAL
2026,fangraph,1,7.0,Direct Greedy,14302.4,14825.400000000001,523.0000000000018,0.03527729437317049,,OPTIMAL,OPTIMAL
2026,fangraph,1,8.0,Direct Greedy,14302.4,14890.100000000002,587.7000000000025,0.03946917750720294,,OPTIMAL,OPTIMAL
2026,fangraph,1,9.0,Direct Greedy,14367.1,14890.100000000002,523.0000000000018,0.0351240085694523,,OPTIMAL,OPTIMAL
2026,fangraph,1,10.0,Direct Greedy,14367.1,14890.100000000002,523.0000000000018,0.0351240085694523,,OPTIMAL,OPTIMAL
2026,fangraph,2,-10.0,Direct Greedy,13993.8,14373.800000000001,380.0000000000018,0.02643698952260375,,OPTIMAL,OPTIMAL
2026,fangraph,2,-9.0,Direct Greedy,13993.8,14373.800000000001,380.0000000000018,0.02643698952260375,,OPTIMAL,OPTIMAL
2026,fangraph,2,-8.0,Direct Greedy,13993.8,14373.800000000001,380.0000000000018,0.02643698952260375,,OPTIMAL,OPTIMAL
2026,fangraph,2,-7.0,Direct Greedy,13993.8,14397.300000000001,403.5000000000018,0.028026088224875623,,OPTIMAL,OPTIMAL
2026,fangraph,2,-6.0,Direct Greedy,13993.8,14431.800000000003,438.00000000000364,0.03034964453498549,,OPTIMAL,OPTIMAL
2026,fangraph,2,-5.0,Direct Greedy,13993.8,14431.800000000003,438.00000000000364,0.03034964453498549,,OPTIMAL,OPTIMAL
2026,fangraph,2,-4.0,Direct Greedy,13993.8,14464.300000000003,470.50000000000364,0.032528362934950435,,OPTIMAL,OPTIMAL
2026,fangraph,2,-3.0,Direct Greedy,13993.8,14573.800000000003,580.0000000000036,0.039797444729583464,,OPTIMAL,OPTIMAL
2026,fangraph,2,-2.0,Direct Greedy,13993.8,14621.400000000001,627.6000000000022,0.042923386269440825,,OPTIMAL,OPTIMAL
2026,fangraph,2,-1.0,Direct Greedy,14077.4,14668.400000000001,591.0000000000018,0.0402906929181098,,OPTIMAL,OPTIMAL
2026,fangraph,2,0.0,Direct Greedy,14077.4,14668.400000000001,591.0000000000018,0.0402906929181098,,OPTIMAL,OPTIMAL
2026,fangraph,2,1.0,Direct Greedy,14082.9,14704.800000000003,621.9000000000033,0.042292312714215984,,OPTIMAL,OPTIMAL
2026,fangraph,2,2.0,Direct Greedy,14082.9,14704.800000000003,621.9000000000033,0.042292312714215984,,OPTIMAL,OPTIMAL
2026,fangraph,2,3.0,Direct Greedy,14082.9,14704.800000000003,621.9000000000033,0.042292312714215984,,OPTIMAL,OPTIMAL
2026,fangraph,2,4.0,Direct Greedy,14082.9,14704.800000000003,621.9000000000033,0.042292312714215984,,OPTIMAL,OPTIMAL
2026,fangraph,2,5.0,Direct Greedy,14302.4,14825.400000000001,523.0000000000018,0.03527729437317049,,OPTIMAL,OPTIMAL
2026,fangraph,2,6.0,Direct Greedy,14302.4,14825.400000000001,523.0000000000018,0.03527729437317049,,OPTIMAL,OPTIMAL
2026,fangraph,2,7.0,Direct Greedy,14302.4,14890.100000000002,587.7000000000025,0.03946917750720294,,OPTIMAL,OPTIMAL
2026,fangraph,2,8.0,Direct Greedy,14302.4,14890.100000000002,587.7000000000025,0.03946917750720294,,OPTIMAL,OPTIMAL
2026,fangraph,2,9.0,Direct Greedy,14302.4,14890.100000000002,587.7000000000025,0.03946917750720294,,OPTIMAL,OPTIMAL
2026,fangraph,2,10.0,Direct Greedy,14367.1,14890.100000000002,523.0000000000018,0.0351240085694523,,OPTIMAL,OPTIMAL
2026,fangraph,3,-10.0,Direct Greedy,13922.2,14353.300000000001,431.10000000000036,0.030034904865083315,,OPTIMAL,OPTIMAL
2026,fangraph,3,-9.0,Direct Greedy,13993.8,14373.800000000001,380.0000000000018,0.02643698952260375,,OPTIMAL,OPTIMAL
2026,fangraph,3,-8.0,Direct Greedy,13993.8,14373.800000000001,380.0000000000018,0.02643698952260375,,OPTIMAL,OPTIMAL
2026,fangraph,3,-7.0,Direct Greedy,13993.8,14408.300000000003,414.50000000000364,0.028768140585634917,,OPTIMAL,OPTIMAL
